Tax_code	A	B	C	D	E	F	G	H	I	J	K	L	M	N
Las_pall	0	0	1	0	0	0	4	0	0	0	0	0	0	0
Las_paux	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Las_pseu	0	0	2	1	0	0	0	1	0	0	0	0	0	0
Las_puncta	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Las_puncti	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Las_semi	0	0	0	0	0	0	0	0	0	0	2	9	0	0
Las_suba	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Las_subf	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Las_trun	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Las_vill	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Lit_corn	0	0	0	0	0	0	0	2	0	0	0	1	0	0
Lit_corn_ch	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Meg_apic	0	2	1	1	1	0	11	2	0	0	0	0	0	0
Meg_cf t	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Meg_cf w	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Meg_dori	0	3	1	0	0	0	1	0	0	0	0	0	0	0
Meg_flab	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Meg_gira	0	0	1	0	1	0	1	0	0	1	0	0	0	0
Meg_hirs	0	0	0	0	0	0	0	0	0	3	0	0	3	0
Meg_hung	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Meg_inex	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Meg_lago	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Meg_mani	0	0	1	0	1	0	3	0	0	0	1	2	1	0
Meg_mont	0	15	2	2	0	3	2	1	0	0	0	0	0	0
Meg_pili	0	2	2	1	2	0	1	4	1	0	0	0	0	0
Meg_sang	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Meg_will	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Nom_luci	0	3	1	0	0	0	0	0	0	0	0	0	0	0
Nom_dive	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Nom_minu	0	5	1	0	0	0	0	0	0	0	0	0	0	0
Osm_andr	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Osm_auru	0	0	5	2	0	0	0	0	1	1	0	0	0	1
Osm_avos	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Osm_caer	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Osm_ceph	0	0	1	0	0	0	0	6	2	0	0	0	0	0
Osm_corn	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Osm_diff	0	0	0	0	0	0	0	1	0	0	0	0	0	7
Osm_dimi	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Osm_kuzn	0	0	0	0	0	0	0	0	0	0	0	5	2	2
Osm_labi	1	1	0	0	0	0	0	1	0	0	0	0	0	0
Osm_mela	4	3	1	0	1	0	3	0	0	0	0	0	0	0
Osm_more	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Osm_must	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Osm_nana	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Osm_nive	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Osm_rhod	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Osm_saxi	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Osm_subc	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Osm_subm	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Osm_thor	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Pro_long	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pse_stig	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rho_acul	0	0	0	0	0	0	0	0	1	3	0	0	0	0
Rho_catu	0	3	1	0	0	0	0	0	0	0	0	0	0	0
Rho_sept	0	2	0	2	0	1	0	0	1	0	0	0	0	0
Sel_ceph	0	0	3	6	14	4	2	2	0	3	0	0	0	0
Sel_sela	0	0	0	0	0	0	0	0	2	3	0	0	0	0
Sel_smar	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Sel_suba	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Sel_subm	0	0	0	0	3	1	0	0	0	14	0	0	0	0
Sph_gibb	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sph_moni	0	0	0	0	0	0	0	1	0	1	0	0	0	0
